  Paikka;Aika;Arvo
973;1847.08.14 00:00;417.00
973;1847.08.15 00:00;414.00
973;1847.08.16 00:00;414.00
973;1847.08.17 00:00;414.00
973;1847.08.18 00:00;414.00
973;1847.08.19 00:00;414.00
973;1847.08.20 00:00;414.00
973;1847.08.21 00:00;414.00
973;1847.08.22 00:00;414.00
973;1847.08.23 00:00;414.00
973;1847.08.24 00:00;414.00
973;1847.08.25 00:00;414.00
973;1847.08.26 00:00;414.00
973;1847.08.27 00:00;414.00
973;1847.08.28 00:00;414.00
973;1847.08.29 00:00;414.00
973;1847.08.30 00:00;414.00
973;1847.08.31 00:00;414.00
973;1847.09.01 00:00;414.00
973;1847.09.02 00:00;414.00
973;1847.09.03 00:00;414.00
973;1847.09.04 00:00;414.00
973;1847.09.05 00:00;414.00
973;1847.09.06 00:00;414.00
973;1847.09.07 00:00;414.00
973;1847.09.08 00:00;414.00
973;1847.09.09 00:00;414.00
973;1847.09.10 00:00;417.00
973;1847.09.11 00:00;417.00
973;1847.09.12 00:00;419.00
973;1847.09.13 00:00;419.00
973;1847.09.14 00:00;419.00
973;1847.09.15 00:00;422.00
973;1847.09.16 00:00;422.00
973;1847.09.17 00:00;422.00
973;1847.09.18 00:00;424.00
973;1847.09.19 00:00;424.00
973;1847.09.20 00:00;427.00
973;1847.09.21 00:00;427.00
973;1847.09.22 00:00;427.00
973;1847.09.23 00:00;430.00
973;1847.09.24 00:00;430.00
973;1847.09.25 00:00;430.00
973;1847.09.26 00:00;432.00
973;1847.09.27 00:00;432.00
973;1847.09.28 00:00;435.00
973;1847.09.29 00:00;435.00
973;1847.09.30 00:00;438.00
973;1847.10.01 00:00;438.00
973;1847.10.02 00:00;438.00
973;1847.10.03 00:00;435.00
973;1847.10.04 00:00;435.00
973;1847.10.05 00:00;432.00
973;1847.10.06 00:00;432.00
973;1847.10.07 00:00;430.00
973;1847.10.08 00:00;430.00
973;1847.10.09 00:00;427.00
973;1847.10.10 00:00;424.00
973;1847.10.11 00:00;422.00
973;1847.10.12 00:00;419.00
973;1847.10.13 00:00;419.00
973;1847.10.14 00:00;417.00
973;1847.10.15 00:00;414.00
973;1847.10.16 00:00;412.00
973;1847.10.17 00:00;412.00
973;1847.10.18 00:00;412.00
973;1847.10.19 00:00;409.00
973;1847.10.20 00:00;409.00
973;1847.10.21 00:00;409.00
973;1847.10.22 00:00;407.00
973;1847.10.23 00:00;407.00
973;1847.10.24 00:00;407.00
973;1847.10.25 00:00;407.00
973;1847.10.26 00:00;407.00
973;1847.10.27 00:00;407.00
973;1847.10.28 00:00;407.00
973;1847.10.29 00:00;407.00
973;1847.10.30 00:00;407.00
973;1847.10.31 00:00;407.00
973;1847.11.01 00:00;407.00
973;1847.11.02 00:00;407.00
973;1847.11.03 00:00;407.00
973;1847.11.04 00:00;409.00
973;1847.11.05 00:00;409.00
973;1847.11.06 00:00;412.00
973;1847.11.07 00:00;412.00
973;1847.11.08 00:00;412.00
973;1847.11.09 00:00;412.00
973;1847.11.10 00:00;412.00
973;1847.11.11 00:00;412.00
973;1847.11.12 00:00;412.00
973;1847.11.13 00:00;412.00
973;1847.11.14 00:00;412.00
973;1847.11.15 00:00;412.00
973;1847.11.16 00:00;412.00
973;1847.11.17 00:00;412.00
973;1847.11.18 00:00;412.00
973;1847.11.19 00:00;412.00
973;1847.11.20 00:00;412.00
973;1847.11.21 00:00;412.00
973;1847.11.22 00:00;412.00
973;1847.11.23 00:00;412.00
973;1847.11.24 00:00;412.00
973;1847.11.25 00:00;412.00
973;1847.11.26 00:00;412.00
973;1847.11.27 00:00;409.00
973;1847.11.28 00:00;409.00
973;1847.11.29 00:00;407.00
973;1847.11.30 00:00;407.00
973;1847.12.01 00:00;407.00
973;1847.12.02 00:00;407.00
973;1847.12.03 00:00;409.00
973;1847.12.04 00:00;409.00
973;1847.12.05 00:00;412.00
973;1847.12.06 00:00;412.00
973;1847.12.07 00:00;414.00
973;1847.12.08 00:00;414.00
973;1847.12.09 00:00;417.00
973;1847.12.10 00:00;419.00
973;1847.12.11 00:00;419.00
973;1847.12.12 00:00;419.00
973;1847.12.13 00:00;424.00
973;1847.12.14 00:00;427.00
973;1847.12.15 00:00;430.00
973;1847.12.16 00:00;430.00
973;1847.12.17 00:00;432.00
973;1847.12.18 00:00;435.00
973;1847.12.19 00:00;438.00
973;1847.12.20 00:00;440.00
973;1847.12.21 00:00;440.00
973;1847.12.22 00:00;443.00
973;1847.12.23 00:00;446.00
973;1847.12.24 00:00;448.00
973;1847.12.25 00:00;450.00
973;1847.12.26 00:00;450.00
973;1847.12.27 00:00;453.00
973;1847.12.28 00:00;453.00
973;1847.12.29 00:00;453.00
973;1847.12.30 00:00;456.00
973;1847.12.31 00:00;456.00
973;1848.01.01 00:00;456.00
973;1848.01.02 00:00;456.00
973;1848.01.03 00:00;456.00
973;1848.01.04 00:00;456.00
973;1848.01.05 00:00;453.00
973;1848.01.06 00:00;453.00
973;1848.01.07 00:00;453.00
973;1848.01.08 00:00;453.00
973;1848.01.09 00:00;453.00
973;1848.01.10 00:00;453.00
973;1848.01.11 00:00;450.00
973;1848.01.12 00:00;450.00
973;1848.01.13 00:00;448.00
973;1848.01.14 00:00;448.00
973;1848.01.15 00:00;446.00
973;1848.01.16 00:00;446.00
973;1848.01.17 00:00;446.00
973;1848.01.18 00:00;446.00
973;1848.01.19 00:00;446.00
973;1848.01.20 00:00;446.00
973;1848.01.21 00:00;446.00
973;1848.01.22 00:00;446.00
973;1848.01.23 00:00;446.00
973;1848.01.24 00:00;446.00
973;1848.01.25 00:00;446.00
973;1848.01.26 00:00;446.00
973;1848.01.27 00:00;446.00
973;1848.01.28 00:00;446.00
973;1848.01.29 00:00;446.00
973;1848.01.30 00:00;446.00
973;1848.01.31 00:00;446.00
973;1848.02.01 00:00;446.00
973;1848.02.02 00:00;446.00
973;1848.02.03 00:00;446.00
973;1848.02.04 00:00;446.00
973;1848.02.05 00:00;448.00
973;1848.02.06 00:00;448.00
973;1848.02.23 00:00;461.00
973;1848.02.24 00:00;461.00
973;1848.02.25 00:00;461.00
973;1848.02.26 00:00;464.00
973;1848.02.27 00:00;466.00
973;1848.02.28 00:00;466.00
973;1848.02.29 00:00;469.00
973;1848.03.01 00:00;471.00
973;1848.03.02 00:00;471.00
973;1848.03.03 00:00;471.00
973;1848.03.04 00:00;471.00
973;1848.03.05 00:00;469.00
973;1848.03.06 00:00;469.00
973;1848.03.07 00:00;469.00
973;1848.03.08 00:00;469.00
973;1848.03.09 00:00;469.00
973;1848.03.10 00:00;469.00
973;1848.03.11 00:00;466.00
973;1848.03.12 00:00;466.00
973;1848.03.13 00:00;464.00
973;1848.03.14 00:00;464.00
973;1848.03.15 00:00;461.00
973;1848.03.16 00:00;461.00
973;1848.03.17 00:00;461.00
973;1848.03.18 00:00;461.00
973;1848.03.19 00:00;461.00
973;1848.03.20 00:00;464.00
973;1848.03.21 00:00;464.00
973;1848.03.22 00:00;464.00
973;1848.03.23 00:00;464.00
973;1848.03.24 00:00;464.00
973;1848.03.25 00:00;464.00
973;1848.03.26 00:00;464.00
973;1848.03.27 00:00;464.00
973;1848.03.28 00:00;464.00
973;1848.03.29 00:00;464.00
973;1848.03.30 00:00;469.00
973;1848.03.31 00:00;469.00
973;1848.04.01 00:00;469.00
973;1848.04.02 00:00;469.00
973;1848.04.03 00:00;469.00
973;1848.04.04 00:00;469.00
973;1848.04.05 00:00;469.00
973;1848.04.06 00:00;469.00
973;1848.04.07 00:00;469.00
973;1848.04.08 00:00;469.00
973;1848.04.09 00:00;469.00
973;1848.04.10 00:00;471.00
973;1848.04.11 00:00;471.00
973;1848.04.12 00:00;474.00
973;1848.04.13 00:00;474.00
973;1848.04.14 00:00;477.00
973;1848.04.15 00:00;477.00
973;1848.04.16 00:00;477.00
973;1848.04.17 00:00;477.00
973;1848.04.18 00:00;477.00
973;1848.04.19 00:00;477.00
973;1848.04.20 00:00;477.00
973;1848.04.21 00:00;477.00
973;1848.04.22 00:00;477.00
973;1848.04.23 00:00;477.00
973;1848.04.24 00:00;477.00
973;1848.04.25 00:00;480.00
973;1848.04.26 00:00;482.00
973;1848.04.27 00:00;485.00
973;1848.04.28 00:00;488.00
973;1848.04.29 00:00;488.00
973;1848.04.30 00:00;491.00
973;1848.05.01 00:00;494.00
973;1848.05.02 00:00;494.00
973;1848.05.03 00:00;496.00
973;1848.05.04 00:00;496.00
973;1848.05.05 00:00;499.00
973;1848.05.06 00:00;499.00
973;1848.05.07 00:00;501.00
973;1848.05.08 00:00;501.00
973;1848.05.09 00:00;501.00
973;1848.05.10 00:00;504.00
973;1848.05.11 00:00;504.00
973;1848.05.12 00:00;507.00
973;1848.05.13 00:00;507.00
973;1848.05.14 00:00;510.00
1036;1847.10.31 00:00;407.00
1036;1847.11.01 00:00;407.00
1036;1847.11.02 00:00;407.00
1036;1847.11.03 00:00;407.00
1036;1847.11.04 00:00;409.00
1036;1847.11.05 00:00;409.00
1036;1847.11.06 00:00;412.00
1036;1847.11.07 00:00;412.00
1036;1847.11.08 00:00;412.00
1036;1847.11.09 00:00;412.00
1036;1847.11.10 00:00;412.00
1036;1847.11.11 00:00;412.00
1036;1847.11.12 00:00;412.00
1036;1847.11.13 00:00;412.00
1036;1847.11.14 00:00;412.00
1036;1847.11.15 00:00;412.00
1036;1847.11.16 00:00;412.00
1036;1847.11.17 00:00;412.00
1036;1847.11.18 00:00;412.00
1036;1847.11.19 00:00;412.00
1036;1847.11.20 00:00;412.00
1036;1847.11.21 00:00;412.00
1036;1847.11.22 00:00;412.00
1036;1847.11.23 00:00;412.00
1036;1847.11.24 00:00;412.00
1036;1847.11.25 00:00;412.00
1036;1847.11.26 00:00;412.00
1036;1847.11.27 00:00;409.00
1036;1847.11.28 00:00;409.00
1036;1847.11.29 00:00;407.00
1036;1847.11.30 00:00;407.00
1036;1847.12.01 00:00;407.00
1036;1847.12.02 00:00;407.00
1036;1847.12.03 00:00;409.00
1036;1847.12.04 00:00;409.00
1036;1847.12.05 00:00;412.00
1036;1847.12.06 00:00;412.00
1036;1847.12.07 00:00;414.00
1036;1847.12.08 00:00;414.00
1036;1847.12.09 00:00;417.00
1036;1847.12.10 00:00;419.00
1036;1847.12.11 00:00;419.00
1036;1847.12.12 00:00;419.00
1036;1847.12.13 00:00;424.00
1036;1847.12.14 00:00;427.00
1036;1847.12.15 00:00;430.00
1036;1847.12.16 00:00;430.00
1036;1847.12.17 00:00;432.00
1036;1847.12.18 00:00;435.00
1036;1847.12.19 00:00;438.00
1036;1847.12.20 00:00;440.00
1036;1847.12.21 00:00;440.00
1036;1847.12.22 00:00;443.00
1036;1847.12.23 00:00;446.00
1036;1847.12.24 00:00;448.00
1036;1847.12.25 00:00;450.00
1036;1847.12.26 00:00;450.00
1036;1847.12.27 00:00;453.00
1036;1847.12.28 00:00;453.00
1036;1847.12.29 00:00;453.00
1036;1847.12.30 00:00;456.00
1036;1847.12.31 00:00;456.00
1036;1848.01.01 00:00;456.00
1036;1848.01.02 00:00;456.00
1036;1848.01.03 00:00;456.00
1036;1848.01.04 00:00;456.00
1036;1848.01.05 00:00;453.00
1036;1848.01.06 00:00;453.00
1036;1848.01.07 00:00;453.00
1036;1848.01.08 00:00;453.00
1036;1848.01.09 00:00;453.00
1036;1848.01.10 00:00;453.00
1036;1848.01.11 00:00;450.00
1036;1848.01.12 00:00;450.00
1036;1848.01.13 00:00;448.00
1036;1848.01.14 00:00;448.00
1036;1848.01.15 00:00;446.00
1036;1848.01.16 00:00;446.00
1036;1848.01.17 00:00;446.00
1036;1848.01.18 00:00;446.00
1036;1848.01.19 00:00;446.00
1036;1848.01.20 00:00;446.00
1036;1848.01.21 00:00;446.00
1036;1848.01.22 00:00;446.00
1036;1848.01.23 00:00;446.00
1036;1848.01.24 00:00;446.00
1036;1848.01.25 00:00;446.00
1036;1848.01.26 00:00;446.00
1036;1848.01.27 00:00;446.00
1036;1848.01.28 00:00;446.00
1036;1848.01.29 00:00;446.00
1036;1848.01.30 00:00;446.00
1036;1848.01.31 00:00;446.00
1036;1848.02.01 00:00;446.00
1036;1848.02.02 00:00;446.00
1036;1848.02.03 00:00;446.00
1036;1848.02.04 00:00;446.00
1036;1848.02.05 00:00;
1036;1848.02.06 00:00;
1036;1848.02.07 00:00;
1036;1848.02.08 00:00;
1036;1848.02.09 00:00;
1036;1848.02.10 00:00;
1036;1848.02.11 00:00;
1036;1848.02.12 00:00;
1036;1848.02.13 00:00;
1036;1848.02.14 00:00;
1036;1848.02.15 00:00;
1036;1848.02.16 00:00;
1036;1848.02.17 00:00;
1036;1848.02.18 00:00;
1036;1848.02.19 00:00;
1036;1848.02.20 00:00;
